Properties Name,Description
:endDate,"The date when an entity ends. Used for class Course."
:startDate,"The date when an entity starts. Used for class Course."
:hasDescription,"A textual description or explanation of an entity or individual. Used across various classes."
:hasInfo,"Additional information or metadata about an entity or individual. Used across various classes."
:hasName,"The name of an entity or individual. Used across various classes, except Person and its subclasses."
:hasTitle,"The title of an entity or individual. Used across various classes."
:hasAcademicTitle,"Specific to academic settings, indicating a person's academic designation. Used for class Person and its subclasses."
:hasBiography,"A detailed account of a person's life or career. Used for class Person and its subclasses."
:hasDateOfBirth,"The birthdate of an individual. Used for class Person and its subclasses."
:hasDegree,"The academic qualification or degree obtained by a person. Used for class Person and its subclasses."
:hasEmail,"The email address of an individual. Used for class Person and its subclasses."
:hasFirstName,"The given name of a person. Used for class Person and its subclasses."
:hasLastName,"The surname or family name of a person. Used for class Person and its subclasses."
:enrollmentYear,"The year a student enrolled in an institution or program. Used for class Student."
:hasCredit,"Represents the number of credits a subject offers. Used for class Subject."
:hasSubmissonDate,"The date when a document or assignment was submitted. Used for class Thesis."
